,Change_Perc,Close,Forecast,High_Low_Change,Price_After_Month,Volume
2015-09-29,-12.383900928792567,2.83,,14.840989399293283,4.24,770862.0
2015-09-30,8.771929824561402,3.1,,3.2258064516129057,4.13,796808.0
2015-10-01,-1.9292604501607735,3.05,,1.9672131147541003,4.01,788830.0
2015-10-02,5.940594059405947,3.21,,0.9345794392523442,3.92,347414.0
2015-10-05,8.41121495327103,3.48,,0.0,4.03,554519.0
2015-10-06,1.7391304347825973,3.51,,1.7094017094017109,3.92,273806.0
2015-10-07,7.407407407407414,3.77,,0.0,4.09,616105.0
2015-10-08,1.0666666666666678,3.79,,0.26385224274405766,4.16,428631.0
2015-10-09,1.32275132275133,3.83,,0.0,4.09,542174.0
2015-10-12,-1.3262599469495973,3.72,,1.3440860215053716,4.04,368467.0
2015-10-13,0.0,3.7,,2.4324324324324285,4.29,348194.0
2015-10-14,1.6393442622950833,3.72,,1.0752688172042901,4.28,291464.0
2015-10-15,4.607046070460703,3.86,,1.8134715025906811,4.2,250380.0
2015-10-16,0.0,3.87,,1.2919896640826827,4.34,223915.0
2015-10-19,4.177545691906008,3.99,,1.253132832080196,4.22,349370.0
2015-10-20,-2.506265664160403,3.89,,2.8277634961439557,4.14,289734.0
2015-10-21,-1.2820512820512775,3.85,,2.857142857142854,4.12,234698.0
2015-10-22,1.818181818181814,3.92,,1.785714285714293,4.12,295724.0
2015-10-23,-0.5025125628140708,3.96,,1.262626262626258,4.0,199875.0
2015-10-26,-4.314720812182739,3.77,,4.509283819628646,4.05,299383.0
2015-10-27,-0.26595744680850497,3.75,,4.800000000000004,3.99,455994.0
2015-10-28,5.585106382978735,3.97,,0.7556675062972242,3.97,405520.0
2015-10-29,0.5089058524173032,3.95,,3.0379746835443067,3.8,327061.0
2015-10-30,-2.5252525252525277,3.86,,9.844559585492236,3.7,1189583.0
2015-11-02,6.735751295336794,4.12,,0.0,3.84,427357.0
2015-11-03,3.2338308457711644,4.15,,0.7228915662650447,3.91,428050.0
2015-11-04,0.4796163069544475,4.19,,1.9093078758949684,3.85,428698.0
2015-11-05,-2.380952380952394,4.1,,2.4390243902439157,3.92,200075.0
2015-11-06,10.04901960784314,4.49,,0.0,3.89,455027.0
2015-11-09,-1.7897091722595095,4.39,,6.150341685649214,3.92,350129.0
2015-11-10,-2.9748283752860387,4.24,,3.7735849056603805,3.9,106953.0
2015-11-11,-2.36406619385344,4.13,,6.537530266343837,3.9,244532.0
